id;title;start_date;end_date;status;total_budget_currency;total_budget;total_budget_breakdown;sustainable_development_goal;framework_resilient_development_pacific;full_cost_recovery_coverage
1;contextually-based Alaska Fresh;2021-05-17;2021-05-17;CONCEPT;FJD;45132;../fake-data/blob/hipster.txt;Micronesia Health Producer;functionalities extensible;Total USB e-services
2;European Junctions digital;2021-05-17;2021-05-17;PIPELINE;YEN;34608;../fake-data/blob/hipster.txt;digital SMTP;Alley Practical;solution
3;Supervisor index Diverse;2021-05-17;2021-05-17;ACTIVE;NZD;83213;../fake-data/blob/hipster.txt;Fresh Handcrafted;Azerbaijanian Research Optional;multi-byte iterate
4;Radial;2021-05-17;2021-05-17;DROPPED;EUR;55750;../fake-data/blob/hipster.txt;firewall ADP International;Up-sized Jewelery application;calculate back-end
5;program;2021-05-17;2021-05-17;DROPPED;YEN;73409;../fake-data/blob/hipster.txt;Small;invoice digital parsing;Berkshire Vision-oriented empowering
6;Small Pakistan Directives;2021-05-17;2021-05-17;COMPLETED;NZD;48620;../fake-data/blob/hipster.txt;Bedfordshire Analyst;Plastic;lime
7;GB calculating;2021-05-17;2021-05-17;ACTIVE;EUR;53871;../fake-data/blob/hipster.txt;Wooden;Ergonomic Practical Corporate;Passage blue hub
8;of open-source Architect;2021-05-17;2021-05-17;DROPPED;NZD;36844;../fake-data/blob/hipster.txt;Saint;JBOD;exploit
9;Arabia withdrawal;2021-05-17;2021-05-17;CLOSED;AUD;27542;../fake-data/blob/hipster.txt;blue;convergence firewall Refined;Haiti Handmade
10;Pants Architect olive;2021-05-17;2021-05-17;PIPELINE;EUR;18804;../fake-data/blob/hipster.txt;Home Dollar;GB invoice Utah;Computer functionalities
